index,IR1,IR2,IR3,LW_speed,RW_speed
200, 50.0,48.0,235.0,30.0,30.0
201, 50.0,48.0,233.0,30.0,30.0
202, 51.0,49.0,241.0,30.0,30.0
203, 51.0,48.0,233.0,30.0,30.0
204, 50.0,47.0,220.0,30.0,30.0
205, 49.0,47.0,200.0,30.0,30.0
206, 50.0,47.0,185.0,30.0,30.0
207, 52.0,47.0,177.0,30.0,30.0
208, 55.0,47.0,177.0,30.0,30.0
209, 49.0,46.0,210.0,30.0,30.0
210, 51.0,44.0,273.0,30.0,30.0
211, 54.0,45.0,321.0,30.0,30.0
212, 67.0,46.0,333.0,30.0,30.0
213, 75.0,45.0,302.0,33.0,27.0
214, 118.0,45.0,267.0,36.4,23.6
215, 196.0,45.0,195.0,42.91,17.09
216, 321.0,45.0,69.0,59.97,0.03
217, 377.0,46.0,53.0,58.05,1.95
218, 390.0,46.0,52.0,58.08,1.92
219, 361.0,45.0,70.0,56.72,3.28
220, 271.0,46.0,139.0,40.92,19.08
221, 143.0,45.0,248.0,33.05,26.95
222, 57.0,44.0,297.0,27.06,32.94
223, 51.0,46.0,319.0,30.0,30.0
224, 51.0,47.0,300.0,30.0,30.0
225, 49.0,48.0,184.0,30.0,30.0
226, 49.0,50.0,66.0,36.7,23.3
227, 50.0,241.0,51.0,3.79,56.21
228, 50.0,221.0,46.0,15.56,44.44
229, 48.0,180.0,45.0,18.81,41.19
230, 49.0,165.0,48.0,18.91,41.09
231, 48.0,66.0,48.0,28.32,31.68
232, 46.0,54.0,49.0,26.28,33.72
233, 49.0,49.0,52.0,26.51,33.49
234, 47.0,47.0,48.0,26.76,33.24
235, 46.0,45.0,48.0,26.54,33.46
236, 44.0,44.0,44.0,27.07,32.93
237, 45.0,54.0,45.0,25.92,34.08
238, 60.0,278.0,83.0,1.52,58.48
239, 275.0,492.0,307.0,17.33,42.67
240, 483.0,516.0,449.0,33.21,26.79
241, 602.0,575.0,495.0,30.99,29.01
242, 661.0,591.0,516.0,37.0,23.0
243, 673.0,592.0,521.0,36.0,24.0
244, 650.0,584.0,508.0,34.17,25.83
245, 597.0,566.0,486.0,31.12,28.88
246, 513.0,535.0,445.0,29.07,30.93
247, 423.0,479.0,400.0,24.4,35.6
248, 334.0,468.0,349.0,18.28,41.72
249, 266.0,478.0,295.0,12.82,47.18
250, 238.0,488.0,253.0,11.36,48.64
251, 226.0,478.0,240.0,12.3,47.7
252, 250.0,428.0,270.0,19.76,40.24
253, 304.0,407.0,325.0,25.04,34.96
254, 367.0,449.0,378.0,24.89,35.11
255, 440.0,506.0,414.0,25.86,34.14
256, 511.0,534.0,458.0,31.98,28.02
257, 574.0,558.0,480.0,30.0,30.0
258, 623.0,573.0,503.0,35.0,25.0
259, 654.0,584.0,515.0,35.5,24.5
260, 673.0,591.0,521.0,36.1,23.9
261, 684.0,595.0,525.0,36.44,23.56
262, 690.0,598.0,527.0,36.53,23.47
263, 693.0,600.0,529.0,36.54,23.46
264, 694.0,601.0,529.0,36.51,23.49
265, 691.0,602.0,528.0,36.11,23.89
266, 686.0,601.0,523.0,35.83,24.17
267, 676.0,600.0,518.0,35.05,24.95
268, 673.0,602.0,516.0,34.82,25.18
269, 677.0,605.0,517.0,35.07,24.93
270, 685.0,608.0,520.0,35.54,24.46
271, 696.0,612.0,525.0,36.09,23.91
272, 706.0,616.0,530.0,36.48,23.52
273, 714.0,619.0,534.0,36.8,23.2
274, 721.0,621.0,538.0,37.15,22.85
275, 729.0,623.0,543.0,37.6,22.4
